geneID	Mapman ANN	description	At homolog	At Tair9 short description	RPKM-base	RPKM-1cm	RPKM+4 cm	RPKMtip	GeneName
GRMZM2G062458	RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family	long hypocotyl in far-red 1, putative, expressed	AT4G00050.1	UNE10 (unfertilized embryo sac 10); DNA binding / transcription factor	0	5.184553766	28.49681547	62.88943569	UNE10
GRMZM2G062471	signalling.receptor kinases.misc	secretory protein-like, putative, expressed	AT3G60720.1	PDLP8 (PLASMODESMATA-LOCATED PROTEIN 8)	5.789314981	5.522895931	5.129408912	10.61498499	PDLP8
GRMZM2G062481	lipid metabolism.FA synthesis and FA elongation.ACP protein	acyl carrier protein, mitochondrial precursor, putative, expressed	AT1G65290.1	mtACP2 (mitochondrial acyl carrier protein 2); acyl carrier/ metal ion binding	90.120748	54.56142923	41.8870543	42.13788024	mtACP2
GRMZM2G062504	not assigned	expressed protein	AT3G52770.1	ZPR3 (LITTLE ZIPPER 3); protein binding	2.971751752	0.071277232	0	0.012819847	ZPR3
GRMZM2G062524	not assigned	expressed protein	AT1G50240.2	FU (FUSED); protein serine/threonine kinase	5.560530051	0.0733393	0.024385808	0	FU
GRMZM2G062527	hormone metabolism.gibberelin.induced-regulated-responsive-activated	GAST1 protein precursor, putative, expressed	AT1G74670.1	gibberellin-responsive protein, putative	42.03853206	0.370770907	0	0	GASA6
GRMZM2G062531	lipid metabolism.exotics (steroids, squalene etc).methylsterol monooxygenase	C-4 methylsterol oxidase, putative, expressed	AT4G12110.1	SMO1-1 (STEROL-4ALPHA-METHYL OXIDASE 1-1); 4,4-dimethyl-9beta,19-cyclopropylsterol-4alpha-methyl oxidase/ C-4 methylsterol oxidase/ catalytic	0	39.12607205	4.658872236	1.569099522	SMO1-1
GRMZM2G062541	signalling.light	basic helix-loop-helix dimerisation region bHLH, putative, expressed	AT1G09530.2	PIF3 (PHYTOCHROME INTERACTING FACTOR 3); DNA binding / protein binding / transcription factor/ transcription regulator	9.997477018	5.784092281	3.189253934	2.552719633	PIF3
GRMZM2G062554	not assigned	vacuolar processing enzyme, beta-isozyme precursor, putative, expressed	AT1G62710.1	BETA-VPE (BETA VACUOLAR PROCESSING ENZYME); cysteine-type endopeptidase	10.96995646	13.27645056	6.505591791	6.619058645	BETA-VPE
GRMZM2G062569	transport.sugars	sugar carrier protein C, putative, expressed	AT1G11260.1	STP1 (SUGAR TRANSPORTER 1); carbohydrate transmembrane transporter/ sugar:hydrogen symporter	3.386147628	13.89728811	66.94897918	95.69030698	STP1
GRMZM2G062576	stress.biotic	verticillium wilt disease resistance protein, putative, expressed	AT1G45616.1	AtRLP6 (Receptor Like Protein 6); protein binding	0.179017194	0.048304275	1.648980135	1.928726092	RLP6
GRMZM2G062585	N-metabolism.ammonia metabolism.unspecified	haloacid dehalogenase-like hydrolase domain-containing protein 1A, putative, expressed	AT5G57440.1	GS1; catalytic/ hydrolase	2.412128594	0.959830625	0.362955027	0.085301562	GS1
GRMZM2G062718	secondary metabolism.wax	3-ketoacyl-CoA synthase, putative, expressed	AT1G68530.1	KCS6 (3-KETOACYL-COA SYNTHASE 6); catalytic/ transferase, transferring acyl groups other than amino-acyl groups	10.33128579	1.576637521	0.810216198	0.542030252	KCS6
GRMZM2G062738	not assigned	expressed protein	AT3G25690.1	CHUP1 (CHLOROPLAST UNUSUAL POSITIONING 1)	2.252859399	111.1375695	207.1997985	165.0640403	CHUP1
GRMZM2G062761	signalling.MAP kinases	OsMPK21-1 - putative MAPK based on amino acid sequence homology, expressed	AT3G18040.1	MPK9 (MAP KINASE 9); MAP kinase	3.298644444	1.087868752	7.439084254	3.593082606	MPK9
GRMZM2G062772	signalling.calcium	calcium and calcium/calmodulin-dependent serine/threonine-proteinkinase, putative, expressed	AT3G10660.1	CPK2 (CALMODULIN-DOMAIN PROTEIN KINASE CDPK ISOFORM 2); calmodulin-dependent protein kinase/ kinase/ protein serine/threonine kinase	0.136788533	3.247028311	0.56045432	0.544360219	CPK2
GRMZM2G062854	PS.lightreaction.ATP synthase	ATP synthase beta chain, putative, expressed	ATCG00480.1	0	12.95874863	40.42391667	94.38718726	125.2170979	PB
GRMZM2G062885	not assigned	CCT motif family protein, expressed	AT4G25990.1	CIL	24.53729682	35.57646963	8.129150709	7.163813351	CIL
GRMZM2G062910	RNA.regulation of transcription.unclassified	mTERF family protein, expressed	AT3G60400.1	mitochondrial transcription termination factor-related / mTERF-related	7.711683543	1.820148089	0.916222857	0.845705563	SHOT1
GRMZM2G062914	signalling.MAP kinases	OsMPK14 - putative MAPK based on amino acid sequence homology, expressed	AT1G10210.2	ATMPK1 (MITOGEN-ACTIVATED PROTEIN KINASE 1); MAP kinase/ kinase	11.35966587	21.77264357	28.58420592	27.45268647	MPK1
GRMZM2G062946	misc.cytochrome P450	cytochrome P450 86A1, putative, expressed	AT4G39490.1	CYP96A10; electron carrier/ heme binding / iron ion binding / monooxygenase	0.984420076	127.3815561	0.493892652	0.013898265	CYP96A10
GRMZM2G063014	protein.postranslational modification	phosphoprotein phosphatase, putative, expressed	AT3G19420.1	ATPEN2 (ARABIDOPSIS THALIANA PTEN 2); phosphatase/ protein tyrosine phosphatase	14.47335257	8.2462409	4.919793028	3.969019983	PEN2
GRMZM2G063024	lipid metabolism.FA synthesis and FA elongation.beta ketoacyl CoA synthase	senescence-associated protein 15, putative, expressed	AT1G01120.1	KCS1 (3-KETOACYL-COA SYNTHASE 1); acyltransferase/ fatty acid elongase	1.079944789	5.29986897	0.313298885	0.147067994	KCS1
GRMZM2G063048	tetrapyrrole synthesis.divinyl chlorophyllide-a 8-vinyl-reductase	PCB2, putative, expressed	AT5G18660.1	PCB2 (PALE-GREEN AND CHLOROPHYLL B REDUCED 2); 3,8-divinyl protochlorophyllide a 8-vinyl reductase	23.70931734	36.65936476	25.07032934	17.08612205	PCB2
GRMZM2G063060	cell.division	cell division control protein 48 homolog E, putative, expressed	AT5G03340.1	cell division cycle protein 48, putative / CDC48, putative	16.28509296	16.3274229	9.061359995	8.442713526	AtCDC48C
GRMZM2G063151	RNA.regulation of transcription.MYB domain transcription factor family	initiator-binding protein, putative, expressed	AT1G07540.1	TRFL2 (TRF-LIKE 2); DNA binding	8.00564166	25.54336201	9.663852009	7.023851234	TRFL2
GRMZM2G063162	not assigned	expressed protein	AT2G46240.1	BAG6 (BCL-2-ASSOCIATED ATHANOGENE 6); calmodulin binding / protein binding	7.101454174	79.88351825	139.9483369	448.0351108	BAG6
GRMZM2G063192	not assigned	cell division cycle protein 20, putative, expressed	AT4G33270.1	CDC20.1; signal transducer	51.24145675	1.065854464	0.144386712	0.546709833	CDC20.1
GRMZM2G063244	cell.cycle.peptidylprolyl isomerase	peptidyl-prolyl cis-trans isomerase, chloroplast precursor, putative, expressed	AT3G62030.1	peptidyl-prolyl cis-trans isomerase, chloroplast / cyclophilin / rotamase / cyclosporin A-binding protein (ROC4)	9.087904886	27.97578378	2.639668603	1.294181281	ROC4
GRMZM2G063258	lipid metabolism.glyceral metabolism.Glycerol-3-phosphate dehydrogenase (NAD+)	glycerol-3-phosphate dehydrogenase, putative, expressed	AT2G40690.1	GLY1; glycerol-3-phosphate dehydrogenase (NAD+)	8.512393983	21.8144311	7.471265572	5.089972313	GLY1
GRMZM2G063276	not assigned	nudix hydrolase 4, putative, expressed	AT1G14860.1	atnudt18 (Arabidopsis thaliana Nudix hydrolase homolog 18); hydrolase	3.062799334	3.270199401	8.494040064	17.74752858	NUDT18
GRMZM2G063322	RNA.processing	snRNP core Sm protein Sm-X5-like protein, putative, expressed	AT1G03330.1	small nuclear ribonucleoprotein D, putative / snRNP core SM-like protein, putative / U6 snRNA-associated Sm-like protein, putative	30.58999335	13.90165737	10.85895773	20.06223005	LSM2
GRMZM2G063473	protein assembly and cofactor ligation	APO2, putative, expressed	AT5G57930.2	APO2 (ACCUMULATION OF PHOTOSYSTEM ONE 2)	11.1313648	42.50271743	17.80349744	13.64612384	APO2
GRMZM2G063492	transport.unspecified cations	sodium/hydrogen exchanger 2, putative, expressed	AT3G05030.1	NHX2 (SODIUM HYDROGEN EXCHANGER 2); sodium ion transmembrane transporter/ sodium:hydrogen antiporter	22.56184627	13.5989542	13.1298275	10.31688788	NHX2
GRMZM2G063519	misc.UDP glucosyl and glucoronyl transferases	transferase, transferring glycosyl groups, putative, expressed	AT2G20810.1	GAUT10 (GALACTURONOSYLTRANSFERASE 10); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups	7.830007864	2.339789134	0.772910617	0.818559458	GAUT10
GRMZM2G063524	transport.misc	synaptic vesicle 2-related protein, putative, expressed	AT3G13050.1	transporter-related	0.264980785	0.081714128	4.754836579	3.248040525	NiaP
GRMZM2G063566	cell wall.modification	xyloglucan endotransglycosylase/hydrolase protein 8 precursor, putative, expressed	AT4G25820.1	XTR9 (XYLOGLUCAN ENDOTRANSGLYCOSYLASE 9); hydrolase, acting on glycosyl bonds / hydrolase, hydrolyzing O-glycosyl compounds / xyloglucan:xyloglucosyl transferase	24.84983495	17.31979581	7.345306048	9.356225333	XTH14
GRMZM2G063592	protein.degradation.serine protease	protease Do-like 2, chloroplast precursor, putative, expressed	AT2G47940.2	DEGP2; serine-type endopeptidase/ serine-type peptidase	49.22206993	163.743016	49.73629965	34.06053599	DEG2
GRMZM2G063676	stress.abiotic.heat	heat shock 70 kDa protein 4, putative, expressed	AT1G79930.1	HSP91; ATP binding	47.78312834	21.28341899	12.04650122	21.98476815	HSP91
GRMZM2G063693	development.unspecified	ABA-induced protein, putative, expressed	AT1G70670.1	caleosin-related family protein	0.834882918	14.58155043	0	0	CLO4
GRMZM2G063717	signalling.calcium	calcium binding EF-hand protein, putative, expressed	AT1G70670.1	caleosin-related family protein	0	0	14.05602529	135.3953077	CLO4
GRMZM2G063737	misc.dynamin	ATP binding protein, putative, expressed	AT1G53140.1	dynamin family protein	5.521479208	0.394665629	0.115918919	0.170361934	DRP5A
GRMZM2G063743	signalling.receptor kinases.misc	secretory protein-like, putative, expressed	AT5G37660.2	PDLP7 (PLASMODESMATA-LOCATED PROTEIN 7)	12.53315868	1.103465693	0.039311757	0.085057784	PDLP7
GRMZM2G063754	not assigned	expressed protein	AT3G51610.1	unknown protein	27.08279949	24.09741592	5.79179711	3.776003619	NPU
GRMZM2G063756	misc.cytochrome P450	cytochrome P450 71C4, putative, expressed	AT3G48280.1	CYP71A25; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding	1096.365246	317.8936408	135.7896333	122.6903211	CYP71A25
GRMZM2G063792	protein.postranslational modification	serine/threonine-protein kinase AFC2, putative, expressed	AT3G53570.4	AFC1 (ARABIDOPSIS FUS3-COMPLEMENTING GENE 1); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase	15.02112208	24.30334603	11.60373608	13.22002636	FC1
GRMZM2G063850	stress.abiotic.heat	heat shock protein STI, putative, expressed	AT1G62740.1	stress-inducible protein, putative	82.05658484	24.48306656	13.42302151	22.76220706	Hop2
GRMZM2G063851	TCA / org. transformation.TCA.CS	citrate synthase 4, mitochondrial precursor, putative, expressed	AT2G44350.1	ATCS; ATP binding / ATP citrate synthase/ citrate (SI)-synthase	31.79216119	40.03410091	40.62616377	52.61361039	ATCS
GRMZM2G063882	not assigned	AT-rich element binding factor 3, putative, expressed	AT5G53160.2	unknown protein	20.0362107	28.71314192	48.74134771	84.31292847	RCAR3
GRMZM2G063897	signalling.receptor kinases.misc	protein kinase, putative, expressed	AT2G28250.2	NCRK; kinase	20.40951408	14.38282144	8.53781475	3.115146841	NCRK
GRMZM2G063917	secondary metabolism.phenylpropanoids.lignin biosynthesis.PAL	phenylalanine ammonia-lyase, putative, expressed	AT2G37040.1	pal1 (Phe ammonia lyase 1); phenylalanine ammonia-lyase	2.526216657	6.358916559	2.786750649	1.156464223	PAL1
GRMZM2G063931	protein.degradation.ubiquitin.E2	ubiquitin-conjugating enzyme E2 I, putative, expressed	AT3G57870.1	SCE1 (SUMO CONJUGATION ENZYME 1); SUMO ligase	9.90555728	29.83723842	33.07378817	32.18184538	SCE1
GRMZM2G063942	not assigned	expressed protein	AT5G24630.1	BIN4 (brassinosteroid-insensitive4); double-stranded DNA binding	19.32613254	13.95151773	6.386772914	10.42955478	BIN4
GRMZM2G063949	cell wall.precursor synthesis.AXS	bifunctional polymyxin resistance arnA protein, putative, expressed	AT1G08200.1	AXS2 (UDP-D-APIOSE/UDP-D-XYLOSE SYNTHASE 2); UDP-glucuronate decarboxylase	63.63960365	12.3494064	4.711058358	1.618513184	AXS2
GRMZM2G063961	protein.postranslational modification	serine/threonine-protein kinase SAPK4, putative, expressed	AT1G10940.1	SNRK2.4 (SNF1-RELATED PROTEIN KINASE 2.4); kinase	10.96889678	11.5437787	6.019967645	5.11382288	SNRK2.4
GRMZM2G064005	not assigned	fizzy-related protein, putative, expressed	AT4G22910.1	FZR2 (FIZZY-RELATED 2); signal transducer	10.11356939	9.01293061	6.708130176	4.779015624	FZR2
GRMZM2G064023	TCA / org. transformation.TCA.CS	citrate synthase 4, mitochondrial precursor, putative, expressed	AT2G44350.1	ATCS; ATP binding / ATP citrate synthase/ citrate (SI)-synthase	39.08193417	15.02290676	15.91408405	23.39574472	ATCS
GRMZM2G064056	lipid metabolism.FA synthesis and FA elongation.ACP desaturase	acyl-desaturase, chloroplast precursor, putative, expressed	AT2G43710.2	SSI2; acyl-[acyl-carrier-protein] desaturase/ stearoyl-CoA 9-desaturase	84.02055335	192.0642325	295.8412983	327.2394157	SSI2
GRMZM2G064096	stress.abiotic.unspecified	auxin-binding protein ABP20 precursor, putative, expressed	AT5G20630.1	GER3 (GERMIN 3); oxalate oxidase	1547.782317	1368.075128	694.1494891	182.1540659	GER3
GRMZM2G064133	protein.synthesis.initiation	eukaryotic translation initiation factor 3 subunit 4, putative, expressed	AT3G11400.1	eukaryotic translation initiation factor 3G / eIF3g	126.8194433	37.57682541	21.5621596	28.61718963	EIF3G1
GRMZM2G064159	polyamine metabolism.synthesis.agmatine deiminase	agmatine deiminase, putative, expressed	AT5G08170.1	EMB1873 (EMBRYO DEFECTIVE 1873); agmatine deiminase	43.94655318	40.74093073	74.3677318	79.74415915	EMB1873
GRMZM2G064163	polyamine metabolism.synthesis.spermidine synthase	spermidine synthase 1, putative, expressed	AT1G23820.1	SPDS1 (spermidine synthase 1); spermidine synthase	38.54914243	29.16992195	53.03853593	70.09108545	SPDS1
GRMZM2G064197	RNA.regulation of transcription.G2-like transcription factor family, GARP	myb family transcription factor-related protein, putative, expressed	AT4G13640.2	UNE16 (unfertilized embryo sac 16); transcription factor	12.50534319	10.05621913	5.707736194	4.118929377	UNE16
GRMZM2G064255	misc.glutathione S transferases	glutathione S-transferase zeta class, putative, expressed	AT2G02380.1	ATGSTZ2; catalytic/ glutathione transferase	6.553533116	8.882835394	27.56695435	27.33769167	GSTZ2
GRMZM2G064296	not assigned	endoplasmic oxidoreductin-1 precursor, putative, expressed	AT1G72280.1	AERO1 (Arabidopsis endoplasmic reticulum oxidoreductins 1); FAD binding / electron carrier/ oxidoreductase, acting on sulfur group of donors, disulfide as acceptor / protein binding	5.238713904	1.796812858	0.930950817	0.800237522	ERO1
GRMZM2G064302	glycolysis.enolase	enolase 1, putative, expressed	AT2G36530.1	LOS2; copper ion binding / phosphopyruvate hydratase	289.4432197	152.5935941	392.9245831	314.0077997	LOS2
GRMZM2G064336	protein assembly and cofactor ligation	nifU-like N-terminal domain-containing protein, mitochondrial precursor, putative, expressed	AT4G22220.1	ISU1; structural molecule	41.15425345	52.65575306	45.11908818	64.90966157	ISU1
GRMZM2G064356	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S2	ribosomal protein S2	ATCG00160.1	0	3.888984431	0.716366072	1.187568426	3.134955622	RPS2
GRMZM2G064426	RNA.regulation of transcription.CCAAT box binding factor family, HAP3	nuclear transcription factor Y subunit B-3, putative, expressed	AT3G53340.1	NF-YB10 (NUCLEAR FACTOR Y, SUBUNIT B10); transcription factor	33.34547763	29.7553479	9.877842962	10.49569477	NF-YB10
GRMZM2G064437	transport.sugars	proton myo-inositol cotransporter, putative, expressed	AT3G18830.1	ATPLT5 (POLYOL TRANSPORTER 5); D-ribose transmembrane transporter/ D-xylose transmembrane transporter/ carbohydrate transmembrane transporter/ galactose transmembrane transporter/ glucose transmembrane transporter/ glycerol transmembrane transporter/ mann	5.983911032	20.55374345	22.61338417	44.81295763	PMT5
GRMZM2G064466	RNA.regulation of transcription.HB,Homeobox transcription factor family	bell-like homeodomain protein 3, putative, expressed	AT5G41410.1	BEL1 (BELL 1); DNA binding / protein binding / transcription factor	0.168139068	8.166424697	4.693268218	2.023686119	BEL1
GRMZM2G064467	transport.unspecified cations	MRS2-5, putative, expressed	AT1G80900.1	magnesium transporter CorA-like family protein (MGT1) (MRS2)	10.08302381	9.321763158	6.110115086	3.048367973	MGT1
GRMZM2G064501	not assigned	CRR2, putative	AT5G50390.1	pentatricopeptide (PPR) repeat-containing protein	1.925470908	1.076211786	0.049358293	0.133494003	EMB3141
GRMZM2G064590	lipid metabolism.Phospholipid synthesis	glycerol-3-phosphate acyltransferase 8, putative, expressed	AT2G38110.1	GPAT6 (GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 6); 1-acylglycerol-3-phosphate O-acyltransferase/ acyltransferase	82.11069552	33.5835338	24.76870926	1.094577759	GPAT6
GRMZM2G064600	protein.targeting.mitochondria	mitochondrial import inner membrane translocase subunit tim23, putative, expressed	AT1G72750.1	ATTIM23-2; P-P-bond-hydrolysis-driven protein transmembrane transporter/ protein transporter	21.95391353	5.619004066	3.874108672	6.250177287	TIM23-2
GRMZM2G064608	RNA.regulation of transcription.unclassified	DNL zinc finger family protein, expressed	AT3G54826.1	0	17.01765086	10.62971125	5.163069366	7.028854904	ZR3
GRMZM2G064612	RNA.processing.splicing	arginine/serine-rich splicing factor RSP41, putative, expressed	AT3G61860.1	RSP31; RNA binding / nucleic acid binding / nucleotide binding	33.9563461	3.513142109	0.580771799	1.84206168	RS31
GRMZM2G064613	protein.postranslational modification	protein kinase domain containing protein, expressed	AT3G06030.1	ANP3 (ARABIDOPSIS NPK1-RELATED PROTEIN KINASE 3); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase	6.019050042	0.406274773	0.055421162	0.179869902	NP3
GRMZM2G064644	signalling.G-proteins	P21-Rho-binding domain containing protein	AT1G27380.2	RIC2 (ROP-INTERACTIVE CRIB MOTIF-CONTAINING PROTEIN 2)	10.94604772	2.992957062	0	0	RIC2
GRMZM2G064663	not assigned	YGGT family protein, expressed	AT5G21920.1	YGGT family protein	51.72631985	102.4680769	38.5867981	29.75413345	YLMG2
GRMZM2G064701	lipid metabolism.FA desaturation.omega 6 desaturase	omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 2, putative, expressed	AT3G12120.2	FAD2 (FATTY ACID DESATURASE 2); delta12-fatty acid dehydrogenase/ omega-6 fatty acid desaturase	31.71940446	20.55163379	17.88735999	28.68218099	FAD2
GRMZM2G064712	cell.organisation	ATP binding protein, putative, expressed	AT3G16630.2	KINESIN-13A; ATP binding / microtubule motor	40.46944853	22.71968471	11.84510068	7.071001593	KINESIN-13A
GRMZM2G064732	signalling.G-proteins	guanine nucleotide-binding protein alpha-1 subunit, putative, expressed	AT2G26300.1	GP ALPHA 1 (G PROTEIN ALPHA SUBUNIT 1); GTP binding / GTPase/ channel regulator/ signal transducer	17.82790724	10.42672273	2.227256022	1.36388308	GP ALPHA 1
GRMZM2G064744	RNA.regulation of transcription.MYB domain transcription factor family	myb-related protein Hv33, putative, expressed	AT5G26660.1	ATMYB86 (MYB DOMAIN PROTEIN 86); specific transcriptional repressor/ transcription repressor	12.85126688	0.734451867	0	0.060387534	MYB86
GRMZM2G064759	RNA.processing	dimethyladenosine transferase, putative, expressed	AT5G66360.2	ribosomal RNA adenine dimethylase family protein	1.750243522	0.052474316	0.162848575	0.339767086	DIM1B
GRMZM2G064799	TCA / org. transformation.TCA.succinate dehydrogenase	succinate dehydrogenase flavoprotein subunit,mitochondrial precursor, putative, expressed	AT5G66760.1	SDH1-1; ATP binding / succinate dehydrogenase	30.61815505	25.52643532	67.03305492	102.5082176	SDH1-1
GRMZM2G064804	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	inner membrane protein OXA1, mitochondrial precursor, putative, expressed	AT2G46470.1	OXA1L (INNER MEMBRANE PROTEIN OXA1-LIKE)	16.1819239	5.871698375	2.768979175	3.766900319	OXA1L
GRMZM2G064822	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L19	60S ribosomal protein L19-3, putative, expressed	AT1G02780.1	emb2386 (embryo defective 2386); structural constituent of ribosome	132.2543002	47.79387508	13.2709404	30.96333754	emb2386
GRMZM2G064868	RNA.processing.ribonucleases	XRN3, putative, expressed	AT1G75660.1	XRN3; 5'-3' exoribonuclease	3.924596731	5.133161387	0.434797264	0.502905778	XRN3
GRMZM2G064936	RNA.processing.ribonucleases	ribonuclease 2 precursor, putative, expressed	AT2G39780.2	RNS2 (RIBONUCLEASE 2); RNA binding / endoribonuclease/ ribonuclease T2	7.880653775	6.979084087	5.331836826	1.210420245	RNS2
GRMZM2G064962	lipid metabolism.lipid degradation.lysophospholipases.glycerophosphodiester phosphodiesterase	glycerophosphodiester phosphodiesterase, putative, expressed	AT5G41080.2	glycerophosphoryl diester phosphodiesterase family protein	3.363359702	4.141434513	10.47241605	7.945322635	GDPD2
GRMZM2G064967	lipid metabolism.lipid degradation.lysophospholipases.carboxylesterase	acyl-protein thioesterase 1, putative, expressed	AT4G22300.1	SOBER1 (SUPPRESSOR OF AVRBST-ELICITED RESISTANCE 1); carboxylesterase	39.3884769	55.12321599	24.74730178	27.99435764	SOBER1
GRMZM2G064988	not assigned	histone deacetylase complex subunit SAP18, putative, expressed	AT2G45640.1	SAP18 (SIN3 ASSOCIATED POLYPEPTIDE P18); protein binding / transcription regulator	53.65873694	23.02287517	12.19498343	16.31274604	SAP18
GRMZM2G064993	cell.organisation	annexin-like protein RJ4, putative, expressed	AT1G35720.1	ANNAT1 (ANNEXIN ARABIDOPSIS 1); ATP binding / calcium ion binding / calcium-dependent phospholipid binding / copper ion binding / peroxidase/ protein homodimerization	120.3015575	7.7470881	1.09211151	0.488005109	ANNAT1
GRMZM2G065066	RNA.processing.splicing	SR repressor protein, putative, expressed	AT3G55460.1	SCL30; RNA binding / nucleic acid binding / nucleotide binding	45.56991632	29.49978668	19.73930065	22.60389225	SCL30
GRMZM2G065076	development.unspecified	tetraspanin family protein, expressed	AT1G32400.3	TOM2A (TOBAMOVIRUS MULTIPLICATION 2A); protein binding	15.81136492	14.78507167	8.458954379	6.179797988	TOM2A
GRMZM2G065088	stress.abiotic.unspecified	germin-like protein subfamily 2 member 4 precursor, putative, expressed	AT1G09560.1	GLP5 (GERMIN-LIKE PROTEIN 5); manganese ion binding / nutrient reservoir	0.135020767	1.96736595	22.0476941	11.21830301	GLP5
GRMZM2G065105	cell.vesicle transport	novel plant SNARE 11, putative, expressed	AT2G35190.1	NPSN11 (NOVEL PLANT SNARE 11); SNAP receptor/ protein transporter	25.88979366	11.82406808	4.557425452	2.70824186	NPSN11
GRMZM2G065194	misc.short chain dehydrogenase/reductase (SDR)	short-chain dehydrogenase/reductase SDR, putative, expressed	AT5G04900.1	short-chain dehydrogenase/reductase (SDR) family protein	17.59204746	88.28570867	53.75155855	24.27525257	NOL
GRMZM2G065203	lipid metabolism.Phospholipid synthesis	glycerol-3-phosphate acyltransferase 1, putative, expressed	AT1G06520.1	GPAT1 (GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 1); 1-acylglycerol-3-phosphate O-acyltransferase/ acyltransferase	7.324472638	0.90012669	0.494492599	0.366025348	GPAT1
GRMZM2G065205	DNA.synthesis/chromatin structure	PROLIFERA protein, putative, expressed	AT4G02060.1	PRL (PROLIFERA); ATP binding / DNA binding / DNA-dependent ATPase/ nucleoside-triphosphatase/ nucleotide binding	11.90845003	0.573773605	0.116876419	0	PRL
GRMZM2G065214	signalling.receptor kinases.proline extensin like	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed	AT2G18470.1	protein kinase family protein	2.612506133	12.30245878	20.98595125	23.04077873	PERK4
GRMZM2G065234	RNA.regulation of transcription.MADS box transcription factor family	MADS-box transcription factor 47, putative, expressed	AT2G22540.1	SVP (SHORT VEGETATIVE PHASE); transcription factor/ translation repressor, nucleic acid binding	36.43789295	18.3531599	10.11807836	11.91782309	SVP
GRMZM2G065245	misc.cytochrome P450	cytochrome P450 86A2, putative, expressed	AT3G56630.1	CYP94D2; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding	0.94120635	3.356768699	0.822424894	0.095328133	CYP94D2
GRMZM2G065276	development.unspecified	flowering time control protein FCA, putative, expressed	AT4G16280.3	FCA; RNA binding	12.84571443	8.213504964	6.627692056	9.528738552	FCA
GRMZM2G065355	RNA.regulation of transcription.putative transcription regulator	heat shock factor-binding protein 1, putative, expressed	AT4G15802.1	0	21.43155762	14.39099628	6.928124056	9.273594864	HSBP
GRMZM2G065374	RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family	phytochrome-interacting factor 4, putative, expressed	AT3G59060.4	PIL6 (PHYTOCHROME INTERACTING FACTOR 3-LIKE 6); DNA binding / transcription factor	4.567760826	25.44553837	50.62262343	63.49497756	PIL6
GRMZM2G065394	signalling.calcium	IQ calmodulin-binding motif family protein, expressed	AT5G35670.1	iqd33 (IQ-domain 33); calmodulin binding	15.6396958	2.68640706	0.231089122	0.028846227	iqd33
GRMZM2G065423	signalling.G-proteins	pollen-specific kinase partner protein, putative, expressed	AT5G02010.1	ROPGEF7; Rho guanyl-nucleotide exchange factor	4.62085394	0.103188766	0.045094399	0.002121077	ROPGEF7
GRMZM2G065451	development.unspecified	squamosa promoter-binding-like protein 10, putative, expressed	AT5G43270.3	SPL2 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 2); DNA binding / transcription factor	14.65962936	10.65559171	8.919913153	7.141945771	SPL2
GRMZM2G065494	hormone metabolism.brassinosteroid.synthesis-degradation.sterols.other	cycloartenol synthase, putative, expressed	AT2G07050.1	CAS1 (cycloartenol synthase 1); cycloartenol synthase	22.41335806	62.04723307	58.34519256	45.63099943	CAS1
GRMZM2G065498	misc.plastocyanin-like	umecyanin, putative, expressed	AT5G20230.1	ATBCB (ARABIDOPSIS BLUE-COPPER-BINDING PROTEIN); copper ion binding / electron carrier	184.0074346	51.68036855	27.6728331	31.81797482	BCB
GRMZM2G065532	RNA.RNA binding	squamous cell carcinoma antigen recognized by T-cells 3, putative, expressed	AT4G24270.1	RNA recognition motif (RRM)-containing protein	19.52625399	9.169039163	6.140004228	7.837076739	EMB140
GRMZM2G065566	RNA.regulation of transcription.unclassified	protein binding protein, putative, expressed	AT5G58430.1	ATEXO70B1 (exocyst subunit EXO70 family protein B1); protein binding	19.62917302	11.83275275	9.834369745	11.17629128	EXO70B1
GRMZM2G065593	not assigned	PX domain containing protein, expressed	AT5G58440.1	SNX2a (SORTING NEXIN 2a); phosphoinositide binding	10.99859332	8.806741874	3.231515563	1.73163924	SNX2a
GRMZM2G065599	RNA.regulation of transcription.DNA methyltransferases	DNA methyltransferase DMT106, putative, expressed	AT3G17310.2	methyltransferase family protein	7.686468194	1.659234013	0.401241033	0.144692393	DRM3
GRMZM2G065635	hormone metabolism.brassinosteroid.synthesis-degradation.BRs.DWF4	cytochrome P450 724B1, putative, expressed	AT3G50660.1	DWF4 (DWARF 4); steroid 22-alpha hydroxylase	0.46180654	2.794611421	5.092437141	8.860089723	DWF4
